episode,total_reward,length,tracking_lin_vel,tracking_ang_vel,lin_vel_z,base_height,action_rate,similar_to_default
1,2.1890937510877846,1,1.8393974006175995,0.5,0.0,-0.11099419556558132,0.0,-0.0393094539642334
2,695.0229753731171,174,700.1529894769192,53.378537273500115,-11.013421905233713,-0.8237850636755439,0.0,-46.6713444083929
3,458.0793026032503,119,464.87522654235363,33.28284959029406,-8.07386635624141,-0.6672931226484025,0.0,-31.337614050507547
4,1480.1074759106773,372,1496.4306673407555,98.6450761969847,-12.54235921011991,-1.0942629043621865,0.0,-101.33164551258086
5,2.2135671943426134,1,1.8393974006175995,0.5,0.0,-0.09087704122066498,0.0,-0.03495316505432129
6,391.6633332212223,102,394.780590236187,30.362049393588677,-7.3913841971393595,-0.48952452731676477,0.0,-25.598397684097286
7,1572.9662178207593,389,1590.423130095005,99.32780976463604,-10.808370555967095,-0.8664695573320147,0.0,-105.10988192558276
8,4159.363040173314,1001,4155.943838208914,301.31547557395146,-21.14059818708707,-1.8841009997469538,0.0,-274.8715744227169
9,3574.7503204991076,882,3572.5382193922997,263.8253904871963,-17.51480375458508,-1.4731047551030274,0.0,-242.62538087070004
10,4171.842941383325,1001,4166.955698803067,296.22394991763576,-21.892618802205938,-1.6561791943134851,0.0,-267.78790934085896
11,4163.276891764553,1001,4139.76870059967,313.15017953963434,-18.996262619044494,-1.7447084713145378,0.0,-268.90101728439294
12,2365.691047154515,569,2377.6073747873306,159.98657849285436,-17.280191747520963,-1.2198130892814385,0.0,-153.40290128886716
13,2.2238486740738153,1,1.8393974006175995,0.5,0.0,-0.07994025014340878,0.0,-0.035608476400375365
14,4196.491254583404,1001,4186.603412479162,305.7362352448572,-22.14856051529957,-1.4821412634117381,0.0,-272.2176913619044
15,4086.3789894892984,1001,4121.408508569002,265.376477457321,-22.20225959046033,-1.9586448257976175,0.0,-276.24509212076674
16,440.26823171488104,110,446.1841230094433,31.908766695996746,-8.59533066069626,-0.586708935964726,0.0,-28.64261839389802
17,115.45208840820622,36,119.67638149857521,11.46971643366851,-7.087367401130905,-0.47245785478963853,0.0,-8.13418426811695
18,2121.0294790669527,517,2132.568726912141,144.54453957313672,-14.419682334771537,-1.010053419081589,0.0,-140.65405166447155
19,2.2000506330281495,1,1.8393974006175995,0.5,0.0,-0.10184246115386486,0.0,-0.03750430643558503
20,2273.302234585621,571,2283.608644902706,168.59514848611434,-19.61448146280936,-1.6017239033238528,0.0,-157.68535343706617
21,2434.2128723563255,615,2428.9056269824505,187.65963237348478,-12.336604923345636,-1.0138367982155927,0.0,-169.00194527804845
22,1051.0946568822394,267,1060.2519954741,73.12857980320405,-8.732971765926777,-0.8613905807447653,0.0,-72.6915560483933
23,1567.3698118380353,400,1583.254336565733,106.64168082804463,-12.781073521030692,-0.941165387325098,0.0,-108.8039666473866
24,4150.310420752945,1001,4146.457476019859,297.12664411206333,-20.658382864931163,-1.6453256943543204,0.0,-270.96999081969244
25,2.2093836408108474,1,1.8393974006175995,0.5,0.0,-0.08409646339714527,0.0,-0.045917296409606935
26,721.0124734693871,183,715.3852684050798,62.63843619165709,-9.406353756819954,-0.6656190007264629,0.0,-46.93925836980342
27,2.240209722518921,1,1.8393974006175995,0.5,0.0,-0.0428260862827301,0.0,-0.05636159181594849
28,733.5240170989435,183,739.9765560030937,54.283006937243044,-12.004332868195547,-0.8370696183049775,0.0,-47.89414335489271
29,957.0058238527924,236,957.5341375917196,71.14029984083027,-8.005077378725993,-0.6662916879966652,0.0,-62.99724451303484
30,4083.7096115427066,1001,4090.3823614120483,295.34600770732504,-24.41882809544306,-1.9857151979959387,0.0,-275.61421428322797
31,2526.263626043108,607,2540.0335989892483,165.15097250306644,-15.403708503020532,-1.0223325770701885,0.0,-162.49490436911572
32,4077.3333729842843,1001,4076.8583857268095,296.84066838357467,-21.691881311610498,-1.5854751067428952,0.0,-273.0883247077465
33,2015.562654289638,493,2017.458059489727,145.82720392590727,-13.571348179907375,-1.1784168580114107,0.0,-132.97284408807758
34,4057.77734205077,1001,4065.810738429427,285.34970299740235,-19.131485871801303,-1.7916859602603408,0.0,-272.4599275439976
35,969.9229889477473,253,978.9897119998932,72.22512191490387,-12.411559496717842,-0.8384751008404523,0.0,-68.04181036949151
