episode,total_reward,length,tracking_lin_vel,tracking_ang_vel,lin_vel_z,base_height,action_rate,similar_to_default
1,2.158864293694496,1,1.8393974006175995,0.5,0.0,-0.08925072848796844,-0.05999935150146485,-0.03128302693367004
2,4472.2275558937135,1001,4751.099018976092,412.3780671542627,-353.980285885717,-25.238056851758767,-0.06,-311.97118749916604
3,4404.302314695717,1001,4687.96037979424,397.21397103217896,-347.0840678180489,-24.988058922442846,-0.05999998569488525,-308.7399094045158
4,2.13665503539145,1,1.8393974006175995,0.5,0.0,-0.10799176059663296,-0.06,-0.0347506046295166
5,4483.925889969758,1001,4769.482960402966,413.57100077997893,-365.40679280137147,-25.57007682032353,-0.06,-308.091201591492
6,4472.282054372968,1001,4748.329042494297,411.59887087135576,-354.5400241428358,-25.22517663098867,-0.06,-307.8206582188605
7,2.157448904924095,1,1.8393974006175995,0.5,0.0,-0.06907668430358171,-0.05792227745056153,-0.054949533939361576
8,4463.77899452593,1001,4738.404565826058,410.19167869829107,-353.08648721193094,-25.209367490034026,-0.06,-306.4613952964544
9,4459.786182161724,1001,4738.134963214397,412.23172865458764,-356.3595323316165,-25.234257143873542,-0.06,-308.92672023177107
10,2.125199776291847,1,1.8393974006175995,0.5,0.0,-0.09644098579883575,-0.06,-0.05775663852691651
11,2.1278623709082605,1,1.8393974006175995,0.5,0.0,-0.09229172021150589,-0.06,-0.059243309497833255
12,4466.601875821726,1001,4730.582133084536,412.32950129879464,-342.2558907104542,-25.034659333480107,-0.05999977588653565,-308.9592087417837
13,2.125569069907069,1,1.8393974006175995,0.5,0.0,-0.10511395521461964,-0.06,-0.04871437549591065
14,4360.779054936321,1001,4657.135661095381,394.1327527581743,-359.26267862388835,-24.722611292266983,-0.06,-306.4440690010788
15,4450.7703920402,1001,4716.409225836396,406.82371930185764,-341.58917878050613,-24.3378674485891,-0.06,-306.47550686895846
16,4455.098451790676,1001,4748.1101632118225,408.0866092380238,-365.8880819060854,-25.81034862828737,-0.05999999046325684,-309.3398901343342
17,4479.022060978979,1001,4759.398781210184,415.18873605085537,-363.0670238505894,-25.619780969869446,-0.06,-306.8186514616013
18,4481.935947235372,1001,4762.083971053362,405.24096430267673,-350.5788890886258,-25.176882555004564,-0.06,-309.5732164770364
19,4457.556076141528,1001,4788.85966271162,403.3859270004323,-394.5853463149594,-26.700410055324507,-0.06,-313.343757200241
20,4474.265531451039,1001,4752.119756489992,412.92737252195366,-355.0534450964269,-25.464460317342912,-0.06,-310.2036921471365
21,2.1542530918121336,1,1.8393974006175995,0.5,0.0,-0.08042551577091217,-0.06,-0.04471879303455353
22,2.165433638319373,1,1.8393974006175995,0.5,0.0,-0.07967830635607243,-0.06,-0.03428545594215393
23,4468.434871512308,1001,4747.190774902701,412.3125342982821,-358.15626415943507,-25.203577898117793,-0.06,-307.64859563112236
24,4468.711570184702,1001,4748.152660578489,409.78842179570347,-356.65196114070636,-25.313269051103973,-0.06,-307.20428199768025
25,4477.7639810429955,1001,4766.213766038418,413.1911060422426,-367.9726403716434,-25.17495908772887,-0.05999074935913086,-308.4333008289339
26,4480.229636940315,1001,4752.872712537646,408.4838168073911,-347.72413683109994,-25.02120490633683,-0.06,-308.32155066728586
27,4456.773215059114,1001,4743.254746496677,404.2485533086219,-357.0511432082178,-25.494395430317187,-0.06,-308.12454610765025
28,4467.199262750957,1001,4730.902960151434,409.53509227128234,-341.3565213614197,-24.4228991122559,-0.06,-307.3993691980837
29,4464.281241046501,1001,4755.369602814317,404.2776082101627,-359.39033604548314,-25.57526707425083,-0.06,-310.34036685824407
30,2.159967889226973,1,1.8393974006175995,0.5,0.0,-0.07671458180993795,-0.06,-0.04271492958068848
31,4482.049757431327,1001,4730.877164453268,412.80080593872117,-334.2303995220247,-24.058241062028575,-0.06,-303.2795723766091
32,2.1656467202678322,1,1.8393974006175995,0.5,0.0,-0.07355393376201391,-0.06,-0.040196746587753296
33,4473.221583685566,1001,4749.56463649869,406.1097587523982,-349.96479473315344,-25.133204689519744,-0.06,-307.2948121428486
34,4436.9797812676825,1001,4723.128392696381,408.9909295499383,-358.44876457768413,-25.456881852536092,-0.06,-311.1738945484164
35,4475.991097021478,1001,4780.187220647931,408.6187500793021,-375.5426580079491,-25.88777349297319,-0.06,-311.3244422048331
