episode,total_reward,length,tracking_lin_vel,tracking_ang_vel,lin_vel_z,base_height,action_rate,similar_to_default
1,4104.77366436149,1001,4658.0635169148445,452.44426741823554,-609.2117720937993,-33.27780847626073,-0.03887970209121704,-363.20565969943885
2,4116.11308139253,1001,4673.67997854948,453.97434248402715,-616.757602565424,-33.413817319402526,-0.04161479949951172,-361.3282049566511
3,4065.0275177309113,1001,4627.431608140469,446.1969171445817,-613.4838108796997,-33.36574723729825,-0.03740943193435669,-361.7140400052068
4,4118.907802825696,1001,4660.216729044914,456.1465774103999,-605.4362688347064,-33.05498266273352,-0.04037749767303467,-358.9238746345047
5,4117.716748873006,1001,4660.227183252573,452.6828274652362,-603.742690703079,-32.757739457970274,-0.04238444328308105,-358.65044724047164
6,4068.773254913546,1001,4636.401597708464,446.44893200322986,-618.0904017393791,-33.4465104372225,-0.03398065090179443,-362.5063819706437
7,4101.778163160215,1001,4658.431774787605,448.21182852610946,-610.7486284881343,-33.16604182786591,-0.038632898330688475,-360.9121369391686
8,4116.08175104762,1001,4670.981173589826,453.1680336035788,-613.2470836779378,-33.41888584753974,-0.03873512744903564,-361.3627514928576
9,4030.033926954348,1001,4580.171970762312,441.37140391021967,-599.2470644485609,-32.55679530675749,-0.05388079643249512,-359.6517071664333
10,2.13539881542325,1,1.8393974006175995,0.5,0.0,-0.08656380698084831,-0.05999926567077637,-0.05743551254272461
11,4084.882928938771,1001,4636.393090337515,453.31927290558815,-612.3507184110813,-33.15927281282531,-0.043904838562011717,-359.27553824186333
12,4095.324243096316,1001,4648.55931347236,448.7886786982417,-608.8351680998612,-33.03082624265077,-0.03207745313644409,-360.12567727863774
13,4096.2656928370025,1001,4642.896712496877,450.38936626166105,-603.0459385734835,-33.04326564066958,-0.03784830808639526,-360.893333399296
14,4119.2623663830855,1001,4667.751167863607,452.4113628324121,-607.2722257385057,-33.05938116776503,-0.03953608989715576,-360.5290213167665
15,4071.4885916472854,1001,4620.733919665217,444.14645489677787,-600.8839095715105,-32.503342777460986,-0.0417825984954834,-359.96274796724293
16,4093.731356891433,1001,4644.08243983984,443.97424717620015,-600.4798012345974,-32.85678158056417,-0.03727424621582031,-360.9514730632301
17,4123.493527478766,1001,4665.684286728501,452.2686096839607,-602.8744093790125,-33.047246325026975,-0.03768216371536255,-358.50003106594096
18,4111.10324457894,1001,4661.703199669719,451.9220384862274,-610.198886816264,-33.21953692889398,-0.04393466949462891,-359.0596351623539
19,4101.686836487378,1001,4654.603735730052,452.98060769215226,-612.4304643326459,-33.206418542741716,-0.03287693500518799,-360.22774712443345
20,4091.1185313504607,1001,4628.31847153604,456.7284870892763,-601.8240882479013,-32.617126829769774,-0.035845715999603275,-359.4513664811852
21,4123.699854419722,1001,4673.245188817382,459.6310770213604,-615.3894595730611,-33.592147036865185,-0.04152477741241455,-360.15328003168116
22,4083.3972230056743,1001,4636.154313459992,452.6488121896982,-609.881229120103,-33.12143728614894,-0.029531142711639403,-362.3737050950529
23,2.1820733443275095,1,1.8393974006175995,0.5,0.0,-0.05723418202251196,-0.055303611755371095,-0.044786262512207034
24,4119.168486153414,1001,4671.458257436752,452.1830250248313,-609.9636086528244,-33.521162458553796,-0.03934793710708618,-360.9486772596839
25,4083.1647145265274,1001,4645.022703111172,451.3108750358224,-618.6332349180711,-33.51031658922963,-0.03397177696228027,-360.99134033620356
26,4108.651570878424,1001,4662.796043604612,450.3874224983156,-610.8107889859973,-33.33102634444071,-0.045701732635498045,-360.3443781614305
27,2.2040866653993727,1,1.8393974006175995,0.5,0.0,-0.04503272008150816,-0.05253349304199219,-0.03774452209472656
28,2.1312322446703913,1,1.8393974006175995,0.5,0.0,-0.09710494428873062,-0.06,-0.05106021165847779
29,4096.5886302266945,1001,4653.006338998675,454.79172317683697,-614.727927904272,-33.38827996851293,-0.03909961938858032,-363.05412445664416
30,4119.621061648992,1001,4672.944434732199,449.5916658937931,-610.1725633431568,-33.26740377329121,-0.03894779205322266,-359.4361240684986
31,4109.5763399843,1001,4664.558143168688,456.0610369555652,-615.8807146540632,-33.546752670757826,-0.03382107257843018,-361.5815517425537
32,4102.247990701618,1001,4657.804017066956,450.13589683920145,-612.4158534070949,-33.42722378687881,-0.040883750915527345,-359.80796225965025
33,4112.48484739259,1001,4655.430052429438,455.0326964221895,-605.6117912642083,-32.95202790489368,-0.039812774658203126,-359.3742695152763
34,4090.740759234136,1001,4650.2664387226105,450.4112930521369,-616.4342782326825,-33.541817700034,-0.038857233524322514,-359.9220193743704
35,2.221536156497896,1,1.8393974006175995,0.5,0.0,-0.016189166344702244,-0.05986522197723389,-0.04180685579776764
